"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 20","13,718.78","13,371.66","13,903.11","13,009.48","1.36B","3.22%"
"Nov 20","13,291.16","11,602.91","13,445.11","11,551.36","1.83B","15.01%"
"Oct 20","11,556.48","12,812.08","13,151.80","11,450.08","1.56B","-9.44%"
"Sep 20","12,760.73","13,037.20","13,460.46","12,341.58","1.62B","-1.43%"
"Aug 20","12,945.38","12,374.46","13,221.82","12,365.61","1.26B","5.13%"
"Jul 20","12,313.36","12,391.72","13,313.90","12,095.11","1.71B","0.02%"
"Jun 20","12,310.93","11,896.70","12,913.13","11,597.82","2.75B","6.25%"
"May 20","11,586.85","10,543.36","11,813.14","10,160.89","2.22B","6.68%"
"Apr 20","10,861.64","9,610.67","11,235.57","9,337.02","2.51B","9.32%"
"Mar 20","9,935.84","12,030.27","12,272.99","8,255.65","4.83B","-16.44%"
"Feb 20","11,890.35","13,033.17","13,795.24","11,724.12","2.23B","-8.41%"
"Jan 20","12,981.97","13,233.71","13,640.06","12,948.17","1.74B","-2.02%"
"Dec 19","13,249.01","13,264.93","13,425.85","12,886.55","1.37B","0.10%"
"Nov 19","13,236.38","12,912.09","13,374.27","12,896.72","1.60B","2.87%"
"Oct 19","12,866.79","12,469.67","12,986.49","11,878.98","1.84B","3.53%"
"Sep 19","12,428.08","11,939.99","12,494.25","11,869.28","1.75B","4.09%"
"Aug 19","11,939.28","12,134.71","12,254.03","11,266.48","2.02B","-2.05%"
"Jul 19","12,189.04","12,616.34","12,656.05","12,115.28","1.90B","-1.69%"
"Jun 19","12,398.80","11,661.12","12,438.37","11,620.64","1.85B","5.73%"
"May 19","11,726.84","12,349.10","12,435.67","11,662.07","2.17B","-5.00%"
"Apr 19","12,344.08","11,617.18","12,376.06","11,612.70","1.69B","7.10%"
"Mar 19","11,526.04","11,584.24","11,823.29","11,299.80","1.93B","0.09%"
"Feb 19","11,515.64","11,198.46","11,556.87","10,863.56","1.66B","3.07%"
"Jan 19","11,173.10","10,477.77","11,321.62","10,386.97","1.93B","5.82%"
"Dec 18","10,558.96","11,534.75","11,566.97","10,279.20","1.81B","-6.20%"
"Nov 18","11,257.24","11,419.61","11,689.96","11,009.25","2.06B","-1.66%"
"Oct 18","11,447.51","12,265.89","12,373.29","11,051.04","2.31B","-6.53%"
"Sep 18","12,246.73","12,338.36","12,458.30","11,865.47","2.15B","-0.95%"
"Aug 18","12,364.06","12,826.70","12,833.11","12,120.65","1.88B","-3.45%"
"Jul 18","12,805.50","12,147.94","12,886.83","12,132.72","2.03B","4.06%"
