"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 20","119,017.20","108,897.30","120,149.90","108,897.30","177.04M","9.30%"
"Nov 20","108,893.30","93,967.60","111,603.40","93,967.60","217.76M","15.90%"
"Oct 20","93,952.40","94,604.20","102,217.60","93,386.60","198.14M","-0.69%"
"Sep 20","94,603.40","99,382.00","103,225.60","93,408.20","190.35M","-4.80%"
"Aug 20","99,369.20","102,912.90","104,523.30","98,513.30","202.70M","-3.44%"
"Jul 20","102,912.20","95,061.60","105,703.60","95,061.60","221.52M","8.27%"
"Jun 20","95,055.80","87,395.20","97,693.50","86,836.60","232.33M","8.76%"
"May 20","87,402.60","80,501.20","88,090.70","75,697.00","220.36M","8.57%"
"Apr 20","80,505.90","73,010.80","83,598.00","67,802.50","209.52M","10.25%"
"Mar 20","73,019.80","104,259.50","108,803.60","61,690.50","270.52M","-29.90%"
"Feb 20","104,171.60","113,760.60","117,700.50","99,951.00","126.65M","-8.43%"
"Jan 20","113,760.60","115,652.00","119,593.10","112,825.50","122.06M","-1.63%"
"Dec 19","115,645.30","108,233.30","117,802.90","108,190.50","99.88M","6.85%"
"Nov 19","108,233.30","107,220.90","109,671.90","105,260.80","95.99M","0.95%"
"Oct 19","107,219.80","104,745.10","108,407.50","99,826.30","103.19M","2.36%"
"Sep 19","104,745.30","101,132.50","106,001.40","99,406.20","97.54M","3.57%"
"Aug 19","101,134.60","101,818.90","104,848.20","95,855.30","119.85M","-0.67%"
"Jul 19","101,812.10","100,973.50","106,650.10","100,072.80","97.40M","0.84%"
"Jun 19","100,967.20","97,035.80","102,617.30","95,685.80","90.98M","4.06%"
"May 19","97,030.30","96,339.30","97,992.30","89,408.90","101.11M","0.70%"
"Apr 19","96,353.30","95,422.90","97,610.30","92,337.50","93.19M","0.98%"
"Mar 19","95,414.60","95,584.40","100,438.90","91,584.30","89.38M","-0.18%"
"Feb 19","95,584.40","97,395.50","98,588.60","93,424.30","97.94M","-1.86%"
"Jan 19","97,393.70","87,887.30","98,405.20","87,535.90","109.60M","10.82%"
"Dec 18","87,887.30","89,511.20","91,242.20","83,891.70","82.22M","-1.81%"
"Nov 18","89,504.00","87,427.60","90,245.50","84,030.40","90.78M","2.38%"
"Oct 18","87,423.60","79,350.40","88,377.20","78,090.70","124.90M","10.19%"
"Sep 18","79,342.40","76,675.50","80,106.90","74,274.50","67.45M","3.48%"
"Aug 18","76,677.50","79,213.00","81,792.10","74,875.80","83.19M","-3.21%"
"Jul 18","79,220.40","72,762.50","80,588.70","71,934.70","71.74M","8.88%"
"Jun 18","72,762.50","76,779.40","78,892.00","69,068.80","96.20M","-5.20%"
"May 18","76,753.60","86,110.80","86,678.20","75,336.90","99.40M","-10.87%"
"Apr 18","86,115.50","85,364.80","87,178.70","82,762.00","66.97M","0.88%"
"Mar 18","85,365.60","85,337.20","87,333.20","82,889.40","72.31M","0.01%"
"Feb 18","85,353.60","84,912.90","88,317.80","79,690.10","73.81M","0.52%"
"Jan 18","84,912.70","76,402.60","86,212.80","76,402.60","74.06M","11.14%"
"Dec 17","76,402.10","71,955.30","76,436.90","71,356.40","56.34M","6.16%"
"Nov 17","71,971.00","74,310.30","75,199.30","70,824.90","67.18M","-3.15%"
"Oct 17","74,308.50","74,294.50","78,024.10","73,845.20","67.89M","0.02%"
"Sep 17","74,293.50","70,848.20","76,419.60","70,846.00","71.06M","4.88%"
"Aug 17","70,835.10","65,925.10","71,505.70","65,925.10","70.28M","7.46%"
"Jul 17","65,920.40","62,900.90","66,048.00","62,035.10","55.45M","4.80%"
"Jun 17","62,900.00","62,711.50","63,636.60","60,543.60","67.37M","0.30%"
"May 17","62,711.50","65,404.00","68,791.90","60,314.70","89.45M","-4.12%"
