"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 31, 2020","30,606.48","30,417.64","30,637.47","30,344.50","287.06M","0.65%"
"Dec 30, 2020","30,409.56","30,415.09","30,525.35","30,393.04","296.14M","0.24%"
"Dec 29, 2020","30,335.67","30,492.07","30,588.79","30,274.24","358.87M","-0.22%"
"Dec 28, 2020","30,403.97","30,283.23","30,525.56","30,283.23","303.08M","0.68%"
"Dec 24, 2020","30,199.87","30,155.92","30,209.67","30,099.30","146.44M","0.23%"
"Dec 23, 2020","30,129.83","30,046.73","30,292.53","30,046.73","275.38M","0.38%"
"Dec 22, 2020","30,015.51","30,200.20","30,200.20","29,992.89","392.52M","-0.67%"
"Dec 21, 2020","30,216.45","30,159.00","30,304.14","29,755.53","445.69M","0.12%"
"Dec 18, 2020","30,179.05","30,314.26","30,343.59","30,029.44","798.23M","-0.41%"
"Dec 17, 2020","30,303.37","30,216.00","30,323.78","30,216.00","345.53M","0.49%"
"Dec 16, 2020","30,154.54","30,191.38","30,236.03","30,080.11","349.54M","-0.15%"
"Dec 15, 2020","30,199.31","29,919.09","30,243.26","29,894.95","419.48M","1.13%"
"Dec 14, 2020","29,861.55","30,123.91","30,325.79","29,849.15","371.98M","-0.62%"
"Dec 11, 2020","30,046.37","29,988.21","30,071.13","29,820.84","396.01M","0.16%"
"Dec 10, 2020","29,999.26","30,032.55","30,063.87","29,876.82","326.93M","-0.23%"
"Dec 09, 2020","30,068.81","30,229.81","30,319.70","29,951.85","383.74M","-0.35%"
"Dec 08, 2020","30,173.88","29,997.95","30,246.22","29,972.07","314.83M","0.35%"
"Dec 07, 2020","30,069.79","30,233.03","30,233.03","29,967.22","370.58M","-0.49%"
"Dec 04, 2020","30,218.26","29,989.56","30,218.26","29,989.56","363.09M","0.83%"
"Dec 03, 2020","29,969.52","29,920.83","30,110.88","29,877.27","408.41M","0.29%"
"Dec 02, 2020","29,883.79","29,695.09","29,902.51","29,599.29","389.33M","0.20%"
"Dec 01, 2020","29,823.92","29,797.50","30,083.31","29,797.50","435.44M","0.63%"
"Nov 30, 2020","29,638.64","29,854.51","29,854.51","29,463.64","561.21M","-0.91%"
"Nov 27, 2020","29,910.37","29,911.33","30,015.13","29,819.98","178.10M","0.13%"
"Nov 25, 2020","29,872.47","30,058.87","30,058.87","29,806.25","324.19M","-0.58%"
"Nov 24, 2020","30,046.24","29,746.11","30,116.51","29,746.11","436.45M","1.54%"
"Nov 23, 2020","29,591.27","29,332.82","29,667.75","29,332.82","389.02M","1.12%"
"Nov 20, 2020","29,263.48","29,437.57","29,469.89","29,231.20","308.74M","-0.75%"
"Nov 19, 2020","29,483.23","29,370.92","29,524.90","29,228.38","333.16M","0.15%"
"Nov 18, 2020","29,438.42","29,875.40","29,930.85","29,432.84","384.89M","-1.16%"
"Nov 17, 2020","29,783.35","29,800.15","29,872.42","29,520.29","376.14M","-0.56%"
"Nov 16, 2020","29,950.44","29,672.36","29,964.29","29,672.36","420.76M","1.60%"
"Nov 13, 2020","29,479.81","29,203.90","29,559.25","29,203.90","348.81M","1.37%"
"Nov 12, 2020","29,080.17","29,231.91","29,311.83","28,902.13","372.87M","-1.08%"
"Nov 11, 2020","29,397.63","29,524.35","29,593.11","29,281.22","376.70M","-0.08%"
"Nov 10, 2020","29,420.92","29,254.17","29,478.86","29,126.99","526.98M","0.90%"
"Nov 09, 2020","29,157.97","29,467.90","29,933.83","29,130.66","680.57M","2.95%"
"Nov 06, 2020","28,323.40","28,399.13","28,431.96","28,189.50","328.58M","-0.24%"
"Nov 05, 2020","28,390.18","28,083.37","28,495.05","28,083.37","391.73M","1.95%"
"Nov 04, 2020","27,847.66","27,512.83","28,301.50","27,512.83","449.89M","1.34%"
"Nov 03, 2020","27,480.03","27,138.69","27,640.21","27,138.69","353.35M","2.06%"
"Nov 02, 2020","26,925.05","26,691.28","27,043.48","26,691.28","382.27M","1.60%"
"Oct 30, 2020","26,501.60","26,572.27","26,639.18","26,143.77","506.32M","-0.59%"
"Oct 29, 2020","26,659.11","26,480.98","26,891.89","26,290.78","434.01M","0.52%"
"Oct 28, 2020","26,519.95","27,102.14","27,102.14","26,497.39","499.63M","-3.43%"
"Oct 27, 2020","27,463.19","27,651.18","27,707.69","27,457.96","372.48M","-0.80%"
"Oct 26, 2020","27,685.38","28,185.82","28,185.82","27,370.16","407.04M","-2.29%"
"Oct 23, 2020","28,335.57","28,409.65","28,436.52","28,149.82","350.10M","-0.10%"
"Oct 22, 2020","28,363.66","28,197.42","28,421.31","28,040.18","334.39M","0.54%"
"Oct 21, 2020","28,210.82","28,270.66","28,450.64","28,196.39","301.11M","-0.35%"
"Oct 20, 2020","28,308.79","28,245.85","28,575.03","28,243.04","351.45M","0.40%"
"Oct 19, 2020","28,195.42","28,633.55","28,711.93","28,139.40","360.92M","-1.44%"
"Oct 16, 2020","28,606.31","28,570.72","28,842.90","28,570.72","358.95M","0.39%"
"Oct 15, 2020","28,494.20","28,323.40","28,535.85","28,181.54","330.13M","-0.07%"
"Oct 14, 2020","28,514.00","28,731.30","28,792.56","28,461.73","372.48M","-0.58%"
"Oct 13, 2020","28,679.81","28,764.95","28,808.84","28,604.35","528.27M","-0.55%"
"Oct 12, 2020","28,837.52","28,671.12","28,957.90","28,659.67","493.68M","0.88%"
"Oct 09, 2020","28,586.90","28,533.61","28,676.29","28,440.63","326.48M","0.57%"
"Oct 08, 2020","28,425.51","28,348.86","28,459.13","28,265.56","315.83M","0.43%"
"Oct 07, 2020","28,303.46","27,971.36","28,369.66","27,971.36","330.19M","1.91%"
"Oct 06, 2020","27,772.76","28,214.24","28,354.48","27,728.03","438.44M","-1.34%"
"Oct 05, 2020","28,148.64","27,825.42","28,162.64","27,825.42","322.53M","1.68%"
"Oct 02, 2020","27,682.81","27,536.39","27,861.43","27,382.94","395.82M","-0.48%"
"Oct 01, 2020","27,816.90","27,940.63","28,041.46","27,669.26","375.65M","0.13%"
"Sep 30, 2020","27,781.70","27,514.64","28,026.33","27,511.06","455.15M","1.20%"
"Sep 29, 2020","27,452.66","27,560.24","27,605.60","27,338.09","306.70M","-0.48%"
"Sep 28, 2020","27,584.06","27,362.14","27,722.60","27,362.14","405.06M","1.51%"
"Sep 25, 2020","27,173.96","26,694.51","27,239.29","26,635.38","391.73M","1.34%"
"Sep 24, 2020","26,815.44","26,716.09","27,094.85","26,537.01","448.78M","0.20%"
"Sep 23, 2020","26,763.13","27,413.60","27,464.46","26,716.12","463.20M","-1.92%"
"Sep 22, 2020","27,288.18","27,170.34","27,333.09","26,989.93","423.33M","0.52%"
